id,company,location,industry,total_laid_off,percentage_laid_off,date,stage,stage_group,funds_raised,country,source,date_added,year,month
2300,Built Technologies copy,Nashville,Construction,,0.08,2023-02-03,Unknown,Unknown,313.00,United States,https://www.nashvillepost.com/business/people/built-lays-off-8-percent-of-workforce/article_55b98a54-a401-11ed-b6b2-532a991e1821.html,2023-07-13,2023,2023-02
2301,Finder,"Sydney, Non-U.S.",Retail,,0.15,2023-02-03,Unknown,Unknown,30.00,Australia,https://www.news.com.au/finance/work/at-work/finder-staff-shocked-by-abrupt-job-cuts-as-15-of-the-business-is-restructured/news-story/6907cf73ddddceb30018521871c89d3c,2023-02-06,2023,2023-02
2302,Byju's,"Bengaluru, Non-U.S.",Education,1500,,2023-02-02,Private Equity,Mature/Exit,5500.00,India,https://www.livemint.com/companies/start-ups/edtech-firm-byju-s-lays-off-nearly-1-500-employees-11675343777644.html,2023-02-02,2023,2023-02
2303,Okta,SF Bay Area,Security,300,0.05,2023-02-02,Post-IPO,Mature/Exit,1200.00,United States,https://www.bloomberg.com/news/articles/2023-02-02/okta-to-lay-off-300-employees-citing-overhiring-execution-challenges,2023-02-02,2023,2023-02
2304,Autodesk,SF Bay Area,Other,250,0.02,2023-02-02,Post-IPO,Mature/Exit,,United States,https://www.bloomberg.com/news/articles/2023-02-03/autodesk-layoffs-hit-250-jobs-joining-tech-industry-peers,2023-02-03,2023,2023-02
2305,Mindstrong,SF Bay Area,Healthcare,127,,2023-02-02,Series C,Growth,160.00,United States,https://www.bizjournals.com/sanjose/news/2023/02/02/mental-health-startup-closing-menlo-park-hq.html,2023-02-03,2023,2023-02
2306,NCC Group,"Manchester, Non-U.S.",Security,125,0.07,2023-02-02,Post-IPO,Mature/Exit,,United Kingdom,https://www.businesstimes.com.sg/companies-markets/british-cybersecurity-firm-ncc-group-cut-workforce-7,2023-02-03,2023,2023-02
2307,Miro,SF Bay Area,Other,119,0.07,2023-02-02,Series C,Growth,476.00,United States,https://miro.com/blog/a-message-from-our-ceo/,2023-02-02,2023,2023-02
2308,Getir,New York City,Food,100,,2023-02-02,Series E,Growth,1800.00,United States,https://www.businessinsider.com/getir-layoffs-100-us-gorillas-deal-store-closures-possible-2023-2,2023-02-05,2023,2023-02
2309,Highspot,Seattle,Sales,100,0.10,2023-02-02,Series F,Late,644.00,United States,https://www.geekwire.com/2023/sales-software-company-highspot-lays-off-100-employees/,2023-02-03,2023,2023-02
2310,Bittrex,Seattle,Crypto,80,,2023-02-02,Unknown,Unknown,,United States,https://www.coindesk.com/business/2023/02/02/crypto-exchange-bittrex-laying-off-83-people/,2023-02-03,2023,2023-02
2311,Snowplow,"London, Non-U.S.",Data,40,,2023-02-02,Series B,Early,55.00,United Kingdom,https://www.linkedin.com/posts/alexdean_today-we-announced-that-we-will-be-saying-activity-7027029986091900928-YHHh/,2023-02-03,2023,2023-02
2312,Articulate,New York City,Education,38,,2023-02-02,Series A,Early,1500.00,United States,https://www.linkedin.com/posts/lucysuros_today-im-imploring-my-network-to-be-on-activity-7026985200467263489-X0T8/,2023-02-03,2023,2023-02
2313,Desktop Metal,Boston,Other,,,2023-02-02,Post-IPO,Mature/Exit,811.00,United States,https://www.bizjournals.com/boston/news/2023/02/02/desktop-metal-to-cut-workers-again.html,2023-02-03,2023,2023-02
2314,Getaround,SF Bay Area,Transportation,,0.10,2023-02-02,Post-IPO,Mature/Exit,948.00,United States,https://techcrunch.com/2023/02/02/car-sharing-spac-getaround-lays-off-10-of-staff/,2023-02-03,2023,2023-02
2315,NCSoft,"Seoul, Non-U.S.",Consumer,,0.20,2023-02-02,Post-IPO,Mature/Exit,240.00,South Korea,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/,2023-02-03,2023,2023-02
2316,Sharesies,"Wellington, Non-U.S.",Finance,,,2023-02-02,Series C,Growth,60.00,New Zealand,https://www.stuff.co.nz/business/131135624/sharesies-plans-to-cut-jobs-as-recession-looms,2023-03-11,2023,2023-02
2317,Talkdesk,SF Bay Area,Support,,,2023-02-02,Series D,Growth,497.00,United States,https://www.uctoday.com/unified-communications/tech-redundancies-hit-talkdesk/,2023-02-06,2023,2023-02
2318,Splunk,SF Bay Area,Data,325,0.04,2023-02-01,Post-IPO,Mature/Exit,2400.00,United States,https://www.marketwatch.com/story/splunk-to-lay-off-4-of-its-staff-in-latest-sign-of-software-cutbacks-11675260328,2023-02-01,2023,2023-02
2319,Pinterest,SF Bay Area,Consumer,150,,2023-02-01,Post-IPO,Mature/Exit,1500.00,United States,https://www.bloomberg.com/news/articles/2023-02-02/pinterest-cuts-about-150-jobs-joining-flurry-of-tech-layoffs,2023-02-02,2023,2023-02
2320,DraftKings,Boston,Consumer,140,0.04,2023-02-01,Post-IPO,Mature/Exit,719.00,United States,https://www.cnbc.com/2023/02/01/draftkings-cuts-140-jobs.html,2023-02-01,2023,2023-02
2321,Cyren,Washington D.C.,Security,121,,2023-02-01,Post-IPO,Mature/Exit,161.00,United States,https://ir.cyren.com/websites/cyren/English/5015/press-release.html?airportNewsID=631c3a77-555f-4a78-be5b-ec30c5cdaaac,2023-02-02,2023,2023-02
2322,Workato,SF Bay Area,Other,90,0.10,2023-02-01,Series E,Growth,415.00,United States,https://www.businessinsider.com/tech-layoffs-workato-clari-unicorn-startups-headcount-reduction-job-cuts-2023-2,2023-02-07,2023,2023-02
2323,VerticalScope,"Toronto, Non-U.S.",Media,60,0.22,2023-02-01,Post-IPO,Mature/Exit,,Canada,https://www.theglobeandmail.com/business/article-verticalscope-cuts-22-per-cent-of-staff-in-latest-canadian-tech/,2023-02-01,2023,2023-02
2324,Wheel,Austin,Healthcare,56,0.28,2023-02-01,Series C,Growth,215.00,United States,https://www.beckershospitalreview.com/telehealth/telehealth-company-wheel-lays-off-28-of-workforce.html,2023-02-02,2023,2023-02
2325,Chainalysis,New York City,Crypto,44,0.05,2023-02-01,Series F,Late,536.00,United States,https://www.forbes.com/sites/stevenehrlich/2023/02/01/chainalysis-to-lay-off-48-of-staff-as-crypto-winter-bites-into-private-sector-demand/?sh=471d22826f23,2023-02-02,2023,2023-02
2326,Appgate,Miami,Security,34,0.08,2023-02-01,Post-IPO,Mature/Exit,,United States,https://seekingalpha.com/filing/7197018,2023-02-26,2023,2023-02
2327,Exterro,Portland,Legal,24,0.03,2023-02-01,Private Equity,Mature/Exit,100.00,United States,https://www.oregonlive.com/silicon-forest/2023/01/oregon-software-company-exterro-lays-off-two-dozen-employees-after-buying-zapproved.html,2023-02-02,2023,2023-02
2328,TheSkimm,New York City,Media,17,0.10,2023-02-01,Series C,Growth,28.00,United States,https://www.businessinsider.com/theskimm-layoffs-nearly-10-percent-staff-media-industry-cuts-economy-2023-2,2023-02-03,2023,2023-02
2329,Ada,"Toronto, Non-U.S.",Support,,,2023-02-01,Series C,Growth,190.00,Canada,https://betakit.com/ada-latest-canadian-unicorn-to-make-additional-staff-cuts/,2023-02-03,2023,2023-02
2330,Bustle Digital Group,New York City,Media,,0.08,2023-02-01,Series E,Growth,80.00,United States,https://variety.com/2023/digital/news/gawker-shutting-down-1235509262/,2023-02-03,2023,2023-02
2331,Frequency Therapeutics,Boston,Healthcare,,0.50,2023-02-01,Post-IPO,Mature/Exit,76.00,United States,https://www.bizjournals.com/boston/news/2023/02/13/frequency-therapeutics-layoffs-2023.html,2023-02-14,2023,2023-02
2332,MariaDB,"Helsinki, Non-U.S.",Data,,0.08,2023-02-01,Post-IPO,Mature/Exit,245.00,Finland,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001929589/ec0bacf5-b734-418a-abde-4fe0b21d43d8.pdf,2023-02-07,2023,2023-02
2333,Match Group,New York City,Consumer,,0.08,2023-02-01,Post-IPO,Mature/Exit,,United States,https://www.bloomberg.com/news/articles/2023-02-01/match-will-reduce-global-workforce-by-8-as-sales-miss-estimates?leadSource=uverify%20wall,2023-02-02,2023,2023-02
2334,Omnipresent,"London, Non-U.S.",HR,,,2023-02-01,Series B,Early,137.00,United Kingdom,https://www.linkedin.com/feed/update/urn:li:activity:7026583774519799808/,2023-02-03,2023,2023-02
2335,Picnic,Seattle,Food,,,2023-02-01,Unknown,Unknown,52.00,United States,https://www.geekwire.com/2023/picnic-a-food-automation-startup-that-sells-a-pizza-making-robot-lays-off-employees/,2023-02-22,2023,2023-02
2336,Rivian,Detroit,Transportation,,0.06,2023-02-01,Post-IPO,Mature/Exit,10700.00,United States,https://www.reuters.com/business/autos-transportation/ev-maker-rivian-cut-6-jobs-amid-price-war-internal-memo-2023-02-01/,2023-02-01,2023,2023-02
2337,PayPal,SF Bay Area,Finance,2000,0.07,2023-01-31,Post-IPO,Mature/Exit,216.00,United States,https://www.cnbc.com/2023/01/31/paypal-to-lay-off-2000-employees-in-coming-weeks-about-7percent-of-workforce.html,2023-01-31,2023,2023-01
2338,NetApp,SF Bay Area,Data,960,0.08,2023-01-31,Post-IPO,Mature/Exit,,United States,https://www.theregister.com/2023/01/31/netapp_layoffs_8_percent/,2023-01-31,2023,2023-01
2339,Workday,SF Bay Area,HR,525,0.03,2023-01-31,Post-IPO,Mature/Exit,230.00,United States,https://www.cnbc.com/2023/01/31/workday-lays-off-employees-but-will-grow-head-count.html,2023-01-31,2023,2023-01
2340,HubSpot,Boston,Marketing,500,0.07,2023-01-31,Post-IPO,Mature/Exit,100.00,United States,https://www.marketwatch.com/story/hubspot-to-lay-off-about-500-employees-consolidate-workspace-leases-01675175630,2023-01-31,2023,2023-01
2341,Upstart,SF Bay Area,Finance,365,0.20,2023-01-31,Post-IPO,Mature/Exit,144.00,United States,https://www.marketwatch.com/story/upstart-to-lay-off-365-employees-20-of-staff-271675176017,2023-01-31,2023,2023-01
2342,Software AG,"Frankfurt, Non-U.S.",Data,200,0.04,2023-01-31,Post-IPO,Mature/Exit,344.00,Germany,https://investors.softwareag.com/content/dam/investorrelation/pdfs/english/financial-results/2022/q4/20230131_sow_en_press_release_q4_2022.pdf.sagdownload.inline.1675184544569.pdf,2023-02-04,2023,2023-01
2344,Wefox,"Berlin, Non-U.S.",Finance,100,,2023-01-31,Series D,Growth,1300.00,Germany,https://versicherungsmonitor.de/2023/01/31/wefox-streicht-stellen/,2023-02-01,2023,2023-01
2345,Tilting Point,New York City,Consumer,60,0.14,2023-01-31,Unknown,Unknown,235.00,United States,https://mobilegamer.biz/layoffs-at-tilting-point-as-it-restructures-and-switches-strategy/,2023-02-01,2023,2023-01
2346,Gokada,"Lagos, Non-U.S.",Transportation,54,,2023-01-31,Unknown,Unknown,12.00,Nigeria,https://techcabal.com/2023/02/02/gokada-layoffs-affects-54/,2023-02-02,2023,2023-01
2347,Nubank,"Sao Paulo, Non-U.S.",Finance,40,,2023-01-31,Post-IPO,Mature/Exit,4100.00,Brazil,https://valorinveste.globo.com/mercados/renda-variavel/empresas/noticia/2023/01/31/nubank-demite-40-pessoas-e-fecha-rea-de-assessoria-de-investimentos.ghtml,2023-06-08,2023,2023-01
2348,AU10TIX,"Tel Aviv, Non-U.S.",Security,19,0.09,2023-01-31,Unknown,Unknown,80.00,Israel,https://www.calcalistech.com/ctechnews/article/sy6ynzb2o,2023-02-07,2023,2023-01
2349,National Instruments,Austin,Hardware,,0.04,2023-01-31,Post-IPO,Mature/Exit,,United States,https://www.cmlviz.com/stocks/NATI/news/b/2023/01/31/national-instruments-corp-expected-to-reduce-ni-s-worldwide-headcount-by-approximately-4-during-2023,2023-02-04,2023,2023-01
2350,OpenText,"Waterloo, Non-U.S.",Data,,0.08,2023-01-31,Post-IPO,Mature/Exit,1100.00,Canada,https://www.crn.com/news/security/layoffs-ahead-as-opentext-closes-5-8b-micro-focus-buy,2023-02-01,2023,2023-01
2351,Philips,"Amsterdam, Non-U.S.",Healthcare,6000,0.13,2023-01-30,Post-IPO,Mature/Exit,,Netherlands,https://www.reuters.com/markets/europe/philips-scraps-6000-jobs-drive-improve-profitability-2023-01-30/,2023-01-30,2023,2023-01
2352,OLX Group,"Amsterdam, Non-U.S.",Marketing,1500,0.15,2023-01-30,Acquired,Mature/Exit,,Netherlands,https://www.financialexpress.com/industry/prosus-operated-olx-to-fire-at-least-1500-employees-globally/2964475/,2023-01-30,2023,2023-01
2353,Arrival,"London, Non-U.S.",Transportation,800,0.50,2023-01-30,Post-IPO,Mature/Exit,629.00,United Kingdom,https://techcrunch.com/2023/01/30/ev-company-arrival-to-cut-workforce-by-50-in-third-restructuring-effort/,2023-01-31,2023,2023-01
2354,Groupon,Chicago,Retail,500,,2023-01-30,Post-IPO,Mature/Exit,1400.00,United States,https://www.chicagobusiness.com/technology/groupon-lay-another-500-workers,2023-01-31,2023,2023-01
2355,Intel,SF Bay Area,Hardware,343,,2023-01-30,Post-IPO,Mature/Exit,12.00,United States,https://www.sfgate.com/tech/article/intel-plans-layoffs-california-campus-17752669.php,2023-01-31,2023,2023-01
2356,Glovo,"Barcelona, Non-U.S.",Food,250,0.06,2023-01-30,Acquired,Mature/Exit,1200.00,Spain,https://sifted.eu/articles/glovo-lays-offs-news/,2023-01-30,2023,2023-01
2357,Delivery Hero,"Berlin, Non-U.S.",Food,156,0.04,2023-01-30,Post-IPO,Mature/Exit,9900.00,Germany,https://newsingermany.com/delivery-hero-lays-off-four-percent-of-employees-at-headquarters/,2023-01-31,2023,2023-01
2358,Impossible Foods,SF Bay Area,Food,140,0.20,2023-01-30,Series H,Late,1900.00,United States,https://www.bloomberg.com/news/articles/2023-01-30/impossible-foods-plans-to-lay-off-about-20-of-employees,2023-01-31,2023,2023-01
2359,Chrono24,"Karlsruhe, Non-U.S.",Retail,65,0.13,2023-01-30,Series C,Growth,205.00,Germany,https://www.bloomberg.com/news/articles/2023-01-30/rolex-reseller-chrono24-cuts-jobs-as-pre-owned-watch-prices-fall,2023-01-31,2023,2023-01
2360,BM Technologies,Philadelphia,Finance,,0.25,2023-01-30,Post-IPO,Mature/Exit,,United States,https://ir.bmtxinc.com/news/news-details/2023/BM-Technologies-Inc.-Announces-Profit-Enhancement-Plan-and-Changes-to-Management-and-Directors/default.aspx,2023-02-01,2023,2023-01
2361,Olist,"Curitiba, Non-U.S.",Retail,,,2023-01-30,Series E,Growth,322.00,Brazil,https://www.estadao.com.br/link/inovacao/unicornio-olist-faz-2-rodada-de-demissoes-em-massa-e-aponta-mercado-arido-em-2023/,2023-01-31,2023,2023-01
2362,Oyster,Charlotte,HR,,,2023-01-30,Series C,Growth,224.00,United States,https://www.linkedin.com/posts/teljamou_oyster-talent-list-activity-7026112666393829376-KB_N/,2023-02-01,2023,2023-01
2363,Prime Trust,Las Vegas,Crypto,,0.33,2023-01-30,Series B,Early,176.00,United States,https://www.coindesk.com/business/2023/01/30/crypto-services-company-prime-trust-lays-off-one-third-of-staff/,2023-02-01,2023,2023-01
2364,Quantum SI,New Haven,Healthcare,,0.12,2023-01-30,Post-IPO,Mature/Exit,425.00,United States,https://www.genomeweb.com/proteomics-protein-research/quantum-si-laying-12-percent-workforce#.Y9wOl-zMK8A,2023-02-03,2023,2023-01
2365,SoFi,SF Bay Area,Finance,,,2023-01-30,Post-IPO,Mature/Exit,3000.00,United States,https://www.americanbanker.com/news/sofis-bank-charter-drives-positive-outlook-though-layoffs-hit-tech-unit,2023-01-31,2023,2023-01
2366,Hoxhunt,"Helsinki, Non-U.S.",Security,,,2023-01-29,Series B,Early,43.00,Finland,https://www.hs.fi/visio/art-2000009351910.html,2023-02-01,2023,2023-01
2367,Me Poupe,"Sao Paulo, Non-U.S.",Finance,60,0.50,2023-01-28,Unknown,Unknown,,Brazil,https://portaldobitcoin.uol.com.br/os-bastidores-da-demissao-em-massa-da-me-poupe-de-nathalia-arcuri-quer-sair-das-redes-sociais/,2023-01-29,2023,2023-01
2368,CoinTracker,SF Bay Area,Crypto,19,,2023-01-28,Series A,Early,101.00,United States,https://www.cointracker.io/blog/ceo-jon-lerners-message-to-cointracker-employees,2023-01-28,2023,2023-01
2369,SSense,"Montreal, Non-U.S.",Retail,138,0.07,2023-01-27,Series A,Early,,Canada,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023-01-28,2023,2023-01
2370,DealShare,"Bengaluru, Non-U.S.",Retail,100,0.06,2023-01-27,Series E,Growth,390.00,India,https://www.moneycontrol.com/news/business/startup/tiger-global-backed-dealshare-lays-off-6-of-staff-9949751.html,2023-01-27,2023,2023-01
2371,Ruggable,Los Angeles,Retail,100,,2023-01-27,Seed,Early,,United States,https://www.modernretail.co/operations/direct-to-consumer-brand-ruggable-lays-off-100-employees/,2023-02-01,2023,2023-01
2372,Synopsys,SF Bay Area,Other,100,,2023-01-27,Post-IPO,Mature/Exit,,United States,https://www.eastbaytimes.com/2023/01/27/synopsys-mountain-view-sunnyvale-job-layoff-tech-facebook-google/,2023-01-28,2023,2023-01
2373,Heycar,"Berlin, Non-U.S.",Transportation,73,,2023-01-27,Unknown,Unknown,,Germany,https://www.autohaus.de/nachrichten/autohersteller/umstrukturierung-heycar-trennt-sich-von-ueber-70-mitarbeitern-3316468,2023-01-31,2023,2023-01
2374,Matrixport,"Singapore, Non-U.S.",Crypto,29,0.10,2023-01-27,Series C,Growth,100.00,Singapore,https://www.coindesk.com/business/2023/01/27/jihan-wus-matrixport-cuts-10-of-staff/,2023-01-27,2023,2023-01
2375,Shakepay,"Montreal, Non-U.S.",Crypto,21,0.25,2023-01-27,Series A,Early,45.00,Canada,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023-01-28,2023,2023-01
2376,#Paid,"Toronto, Non-U.S.",Marketing,19,0.17,2023-01-27,Series B,Early,21.00,Canada,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023-01-28,2023,2023-01
2377,Decent,SF Bay Area,Healthcare,,,2023-01-27,Series A,Early,18.00,United States,https://www.decent.com/post/what-just-happened-at-decent,2023-01-28,2023,2023-01
2907,Wavely,SF Bay Area,HR,,1.00,2022-11-10,Unknown,Unknown,,United States,https://www.wavely.com/talentresources/wavely-shutting-down,2022-11-11,2022,2022-11
2378,Feedzai,"Coimbra, Non-U.S.",Finance,,,2023-01-27,Unknown,Unknown,273.00,Portugal,https://www.finextra.com/newsarticle/41685/exclusive-feedzai-cuts-workforce-amid-restructuring---sources,2023-01-28,2023,2023-01
2379,Nate,New York City,Retail,,,2023-01-27,Series A,Early,47.00,United States,https://www.theinformation.com/articles/coatue-backed-ai-shopping-startup-nate-has-slashed-most-staff-and-disabled-key-features-of-its-app,2023-01-29,2023,2023-01
2380,Soundwide,"Berlin, Non-U.S.",Other,,0.08,2023-01-27,Unknown,Unknown,,Germany,https://cdm.link/2023/01/soundwide-layoffs/,2023-05-01,2023,2023-01
2381,SAP,"Walldorf, Non-U.S.",Other,3000,0.03,2023-01-26,Post-IPO,Mature/Exit,1300.00,Germany,https://www.cnbc.com/2023/01/26/sap-to-cut-3000-roles-explore-sale-of-qualtrics-stake.html,2023-01-26,2023,2023-01
2382,Confluent,SF Bay Area,Data,221,0.08,2023-01-26,Post-IPO,Mature/Exit,455.00,United States,https://investors.confluent.io/node/8216/html,2023-01-26,2023,2023-01
2383,Glisser,"London, Non-U.S.",Travel,25,1.00,2023-01-26,Unknown,Unknown,1.00,United Kingdom,https://www.linkedin.com/posts/mikepiddock_glisser-people-open-to-work-public-version-activity-7024682358524010497-5wiM/,2023-12-22,2023,2023-01
2384,DriveWealth,Jersey City,Finance,,0.20,2023-01-26,Series D,Growth,550.00,United States,https://techcrunch.com/2023/02/06/even-well-funded-fintech-companies-are-laying-off-workers/,2023-02-01,2023,2023-01
2385,Mode Global,"London, Non-U.S.",Finance,,1.00,2023-01-26,Post-IPO,Mature/Exit,,United Kingdom,https://ir.q4europe.com/solutions/ModePlc/4070/newsArticle.aspx?storyid=15676173,2023-01-30,2023,2023-01
2386,Plus One Robotics,San Antonio,Other,,0.10,2023-01-26,Series B,Early,43.00,United States,https://www.linkedin.com/feed/update/urn:li:activity:7024472621111001088/,2023-01-27,2023,2023-01
2387,Quora,SF Bay Area,Consumer,,,2023-01-26,Series D,Growth,226.00,United States,https://quorablog.quora.com/Company-update?ch=10&oid=97805843&share=1139ae3a&srid=XzV2&target_type=post,2023-01-27,2023,2023-01
2388,IBM,New York City,Hardware,3900,0.02,2023-01-25,Post-IPO,Mature/Exit,,United States,https://www.bloomberg.com/news/articles/2023-01-25/ibm-to-cut-about-3-900-workers-still-hiring-in-higher-growth-areas,2023-01-25,2023,2023-01
2389,Lam Research,SF Bay Area,Hardware,1300,0.07,2023-01-25,Post-IPO,Mature/Exit,,United States,https://www.bloomberg.com/news/articles/2023-01-25/lam-research-to-cut-7-of-workforce-after-forecast-disappoints?leadSource=uverify%20wall,2023-02-01,2023,2023-01
2390,Shutterfly,SF Bay Area,Retail,360,,2023-01-25,Acquired,Mature/Exit,50.00,United States,https://thedeadpixelssociety.com/shutterfly-layoffs-impact-360/,2023-01-26,2023,2023-01
2391,Luno,"London, Non-U.S.",Crypto,330,0.35,2023-01-25,Acquired,Mature/Exit,13.00,United Kingdom,https://www.cnbc.com/2023/01/25/dcg-owned-crypto-exchange-luno-axes-35percent-of-staff.html,2023-01-25,2023,2023-01
2392,Clear Capital,Reno,Real Estate,250,0.25,2023-01-25,Unknown,Unknown,,United States,https://www.rgj.com/story/news/money/business/2023/01/25/more-layoffs-at-reno-based-clear-capital-amid-seismic-housing-shift/69842319007/,2023-01-26,2023,2023-01
2393,Guardant Health,SF Bay Area,Healthcare,130,0.07,2023-01-25,Post-IPO,Mature/Exit,550.00,United States,https://www.genomeweb.com/business-news/guardant-health-lays-7-percent-workforce#.Y9HcqOzMK8A,2023-01-26,2023,2023-01
2394,SirionLabs,Seattle,Legal,130,0.15,2023-01-25,Series D,Growth,171.00,United States,https://inc42.com/buzz/exclusive-days-after-raising-25-mn-funding-tiger-backed-sirionlabs-lays-off-around-150-employees/,2023-01-26,2023,2023-01
2395,Tier Mobility,"Berlin, Non-U.S.",Transportation,80,0.07,2023-01-25,Series D,Growth,646.00,Germany,https://techcrunch.com/2023/01/25/tier-mobility-and-spin-lay-off-100-more-employees/,2023-01-26,2023,2023-01
2396,CareRev,Los Angeles,Healthcare,,,2023-01-25,Series A,Early,51.00,United States,https://www.carerev.com/blog/a-note-from-the-ceo-refocusing-on-our-technology-to-deliver-on-our-mission,2023-02-01,2023,2023-01
2397,Finastra,"Tel Aviv, Non-U.S.",Finance,,,2023-01-25,Unknown,Unknown,,Israel,https://www.calcalistech.com/ctechnews/article/s1sh8e13i,2023-02-07,2023,2023-01
2398,Noom,New York City,Fitness,,,2023-01-25,Series F,Late,657.00,United States,https://www.mobihealthnews.com/news/weight-loss-startup-noom-confirms-more-layoffs,2023-01-26,2023,2023-01
2399,PagSeguro,"Sao Paulo, Non-U.S.",Finance,,0.07,2023-01-25,Post-IPO,Mature/Exit,,Brazil,https://news.fintechnexus.com/pagseguro-and-will-bank-part-of-layoff-wave-in-latam/,2023-02-07,2023,2023-01
2400,Prosus,"Amsterdam, Non-U.S.",Other,,0.30,2023-01-25,Unknown,Unknown,,Netherlands,https://www.bloomberg.com/news/articles/2023-01-25/prosus-to-cut-30-of-corporate-staff-in-latest-tech-layoffs?leadSource=uverify%20wall,2023-01-25,2023,2023-01
2401,Vacasa,Portland,Travel,1300,0.17,2023-01-24,Post-IPO,Mature/Exit,834.00,United States,https://www.oregonlive.com/business/2023/01/vacasa-will-lay-off-1300-we-need-to-reduce-our-costs.html,2023-01-25,2023,2023-01
2402,Innovaccer,SF Bay Area,Healthcare,245,0.15,2023-01-24,Series E,Growth,379.00,United States,https://digitalhealth.modernhealthcare.com/digital-health/digital-health-unicorn-innovaccer-lays-15-its-employees,2023-01-24,2023,2023-01
2403,Bolt,SF Bay Area,Finance,50,0.10,2023-01-24,Series E,Growth,1300.00,United States,https://www.theinformation.com/articles/bolt-ceo-cuts-staff-a-third-time-as-revenue-lags,2023-01-25,2023,2023-01
2404,PartnerStack,"Toronto, Non-U.S.",Sales,40,0.20,2023-01-24,Series B,Early,36.00,Canada,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023-01-24,2023,2023-01
2405,Gitpod,"Kiel, Non-U.S.",Product,21,0.28,2023-01-24,Series A,Early,41.00,Germany,https://www.gitpod.io/blog/building-for-the-long-run,2023-01-25,2023,2023-01
2406,OFFOR Health,Columbus,Healthcare,16,,2023-01-24,Series A,Early,14.00,United States,https://www.linkedin.com/feed/update/urn:li:activity:7024365334803451904/,2023-01-28,2023,2023-01
2407,Venngage,"Toronto, Non-U.S.",Marketing,11,0.20,2023-01-24,Unknown,Unknown,,Canada,https://betakit.com/as-big-tech-makes-mass-layoffs-recent-canadian-startup-reductions-might-cut-deeper/,2023-01-25,2023,2023-01
2408,CoachHub,"Berlin, Non-U.S.",HR,,0.10,2023-01-24,Series C,Growth,332.00,Germany,https://www.linkedin.com/posts/niebelschuetz_today-we-announced-the-toughest-decision-activity-7023678997448290304-oDEB/,2023-01-24,2023,2023-01
2409,Corvus Insurance,Boston,Finance,,0.14,2023-01-24,Series C,Growth,160.00,United States,https://www.bizjournals.com/boston/inno/stories/news/2023/01/25/corvus-layoffs-us-europe.html,2023-01-25,2023,2023-01
2410,Icon,Austin,Construction,,,2023-01-24,Series B,Early,451.00,United States,https://www.bizjournals.com/austin/inno/stories/news/2023/01/24/icon-3d-printing-homes-austin-layoffs-tech.html,2023-01-25,2023,2023-01
2411,PagerDuty,SF Bay Area,Product,,0.07,2023-01-24,Post-IPO,Mature/Exit,173.00,United States,https://www.marketwatch.com/story/pagerduty-to-lay-off-7-of-staff-revenue-officer-to-exit-271674568511,2023-01-24,2023,2023-01
2412,Scoro,"London, Non-U.S.",HR,,0.09,2023-01-24,Series B,Early,23.00,United Kingdom,https://digipro.geenius.ee/rubriik/uudis/scoro-koondas-eestis-usas-ja-uhendkuningriigis-9-protsenti-tootajatest/,2023-01-24,2023,2023-01
2413,Spotify,"Stockholm, Non-U.S.",Media,600,0.06,2023-01-23,Post-IPO,Mature/Exit,2100.00,Sweden,https://www.reuters.com/technology/spotify-trim-6-workforce-2023-01-23/,2023-01-23,2023,2023-01
2414,Uber Freight,SF Bay Area,Logistics,150,0.03,2023-01-23,Subsidiary,Mature/Exit,2700.00,United States,https://www.freightwaves.com/news/uber-freight-cutting-about-150-jobs-all-in-brokerage-operations,2023-01-24,2023,2023-01
2415,Inmobi,"Bengaluru, Non-U.S.",Marketing,50,,2023-01-23,Unknown,Unknown,320.00,India,https://www.business-standard.com/article/companies/softbank-backed-inmobi-fires-50-70-employees-on-performance-basis-123012200465_1.html,2023-01-23,2023,2023-01
2416,Innovid,New York City,Marketing,40,0.10,2023-01-23,Post-IPO,Mature/Exit,295.00,United States,https://www.marketwatch.com/amp/story/innovid-will-cut-10-of-jobs-01674512868,2023-01-24,2023,2023-01
2417,Booktopia,"Sydney, Non-U.S.",Retail,30,,2023-01-23,Series A,Early,23.00,Australia,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-02623152-2A1426574?access_token=83ff96335c2d45a094df02a206a39ff4,2023-01-23,2023,2023-01
2418,Ermetic,SF Bay Area,Security,30,0.17,2023-01-23,Series B,Early,97.00,United States,https://www.calcalistech.com/ctechnews/article/h1abeu2io,2023-01-25,2023,2023-01
2419,Namogoo,"Tel Aviv, Non-U.S.",Marketing,20,0.15,2023-01-23,Series C,Growth,69.00,Israel,https://www.calcalistech.com/ctechnews/article/skhuvq2ii,2023-01-24,2023,2023-01
